x,y
2.541557550430297852e-01,2.714101076126098633e-01
2.416434586048126221e-01,2.614564299583435059e-01
2.150003015995025635e-01,2.436350882053375244e-01
1.809670329093933105e-01,2.127806842327117920e-01
1.445640176534652710e-01,1.692434549331665039e-01
9.196516871452331543e-02,1.264353394508361816e-01
4.111957550048828125e-02,6.905265152454376221e-02
2.329294197261333466e-02,1.334504783153533936e-02
6.535772234201431274e-02,5.193038657307624817e-02
9.221816062927246094e-02,9.872564673423767090e-02
9.522759914398193359e-02,1.385350823402404785e-01
1.033583134412765503e-01,1.463231444358825684e-01
8.546451479196548462e-02,1.553013771772384644e-01
6.447412818670272827e-02,1.456642597913742065e-01
2.354266680777072906e-02,1.367406845092773438e-01
8.457249961793422699e-03,1.016610562801361084e-01
3.152300417423248291e-02,6.514899432659149170e-02
3.940705955028533936e-02,2.009060047566890717e-02
2.869675122201442719e-02,3.681912273168563843e-02
2.099633030593395233e-02,6.527661532163619995e-02
6.233312189579010010e-03,8.832079917192459106e-02
2.127998694777488708e-02,9.968650341033935547e-02
1.687914691865444183e-02,9.366746246814727783e-02
1.703155925497412682e-03,7.702313363552093506e-02
2.422978915274143219e-02,5.056640878319740295e-02
4.375733062624931335e-02,9.654833003878593445e-03
3.949280455708503723e-02,2.813941612839698792e-02
2.987083978950977325e-02,5.658579990267753601e-02
7.704679155722260475e-04,6.275714933872222900e-02
2.556301094591617584e-02,6.757240742444992065e-02
4.830686375498771667e-02,5.226041749119758606e-02
5.556917190551757812e-02,2.967462129890918732e-02
5.599097162485122681e-02,5.392143502831459045e-03
3.700776770710945129e-02,1.949436217546463013e-02
7.905860431492328644e-03,2.011287026107311249e-02
2.746542543172836304e-02,1.190825365483760834e-02
4.964525625109672546e-02,6.985363084822893143e-03
5.770193785429000854e-02,1.298859901726245880e-02
5.811470001935958862e-02,1.106295362114906311e-02
3.559630736708641052e-02,1.116810552775859833e-02
9.804469533264636993e-03,1.631141826510429382e-02
2.072618342936038971e-02,7.246550172567367554e-03
3.887417539954185486e-02,9.806235320866107941e-03
4.732136800885200500e-02,1.225261669605970383e-02
3.894425183534622192e-02,8.322776295244693756e-03
2.540485374629497528e-02,9.487566538155078888e-03
1.607822137884795666e-03,1.229269802570343018e-02
1.224150694906711578e-02,6.527934689074754715e-03
1.339605916291475296e-02,1.179892662912607193e-02
5.869216285645961761e-03,1.901277340948581696e-02
1.788308843970298767e-02,9.804952889680862427e-03
2.532412298023700714e-02,6.148760672658681870e-03
2.181869745254516602e-02,1.053938455879688263e-02
8.730826899409294128e-03,4.351863171905279160e-03
2.305309474468231201e-02,1.899795979261398315e-02
2.939936146140098572e-02,1.970329321920871735e-02
2.251700870692729950e-02,8.781606331467628479e-03
1.288571115583181381e-02,5.595569033175706863e-03
1.368865277618169785e-02,1.388898957520723343e-02
2.043871581554412842e-02,5.823343060910701752e-03
1.520422007888555527e-02,1.273441687226295471e-02
4.045661538839340210e-03,1.504878140985965729e-02
2.316326089203357697e-02,1.176993642002344131e-02
2.962555363774299622e-02,7.408606354147195816e-03
2.937227115035057068e-02,9.988460689783096313e-03
1.561714056879281998e-02,4.522406030446290970e-03
5.709443707019090652e-03,1.230702456086874008e-02
1.177699491381645203e-02,1.918178424239158630e-02
1.569867320358753204e-02,7.318745832890272141e-03
1.052637235261499882e-03,7.853237912058830261e-03
1.884473301470279694e-02,1.434172689914703369e-02
3.164570406079292297e-02,5.249334499239921570e-03
3.504598513245582581e-02,1.529191154986619949e-02
1.921246573328971863e-02,1.730976440012454987e-02
5.825097206979990005e-03,8.272300474345684052e-03
1.511507481336593628e-02,7.940691895782947540e-03
1.042944751679897308e-02,1.023185811936855316e-02
3.174443729221820831e-03,3.236534772440791130e-03
1.725708367303013802e-03,1.108963415026664734e-02
7.835724391043186188e-03,1.577645912766456604e-02
7.137258537113666534e-03,8.092495612800121307e-03
6.316497456282377243e-03,6.863935384899377823e-03
8.537067100405693054e-03,9.893490001559257507e-03
1.853954279795289040e-03,3.051431151106953621e-03
5.214959401200758293e-06,1.348789781332015991e-02
8.760058321058750153e-03,1.860783621668815613e-02
7.226508576422929764e-03,1.122654881328344345e-02
3.004477766808122396e-04,9.001430124044418335e-03
2.614393131807446480e-03,1.198924798518419266e-02
5.809815600514411926e-03,4.048057366162538528e-03
2.448903862386941910e-03,1.347675081342458725e-02
1.249545533210039139e-02,2.016559056937694550e-02
1.088693644851446152e-02,1.160275563597679138e-02
6.302821566350758076e-04,5.183498375117778778e-03
8.024875423870980740e-04,1.042520068585872650e-02
8.801770396530628204e-03,5.894817411899566650e-03
1.376174762845039368e-02,1.366812456399202347e-02
2.681842539459466934e-03,1.356950681656599045e-02
2.736611291766166687e-03,1.131709478795528412e-02
9.471189230680465698e-03,7.072883658111095428e-03
